Sex,VehicleType,Claims,Term,Discount,AgeCat,VehicleAgeCat
M,A,0,0.837782341,50,3,2
M,A,0,0.837782341,50,3,2
M,A,0,0.574948665,0,3,2
M,A,0,0.837782341,50,5,2
M,A,0,0.837782341,50,5,2
M,A,0,0.375085558,0,3,2
M,A,0,0.876112252,20,3,2
M,A,0,0.334017796,50,5,2
M,A,0,0.999315537,50,6,2
F,A,0,0.752908967,10,4,2
M,A,0,0.752908967,0,3,2
M,A,0,0.670773443,50,7,2
M,A,0,0.889801506,0,5,2
M,A,0,0.670773443,10,3,2
F,A,0,0.635181383,0,2,2
M,A,0,0.167008898,50,4,2
M,A,0,0.084873374,0,5,2
F,A,0,0.761122519,0,2,2
M,A,0,0.585900068,30,4,2
M,A,0,0.914442163,40,5,2
M,A,0,0.41889117,10,4,2
M,A,0,0.377823409,30,4,2
M,A,0,0.531143053,40,5,2
M,A,0,0.503764545,50,5,2
M,A,0,0.914442163,50,5,2
M,A,0,0.402464066,40,7,2
M,A,0,0.049281314,50,3,2
M,A,0,0.41889117,50,3,6
M,A,0,0.334017796,40,3,2
U,W,0,0.503764545,0,0,2
M,A,0,0.41889117,30,4,2
M,A,0,0.900752909,0,3,2
M,A,0,0.334017796,50,4,2
M,A,0,0.334017796,20,3,2
M,A,0,0.999315537,50,3,2
M,A,0,0.164271047,30,3,2
M,A,0,0.752908967,10,4,2
M,A,0,0.670773443,40,4,2
M,A,0,0.101300479,10,3,2
M,A,2,0.752908967,30,4,2
M,A,0,0.084873374,50,5,2
M,A,0,0.761122519,0,3,6
M,A,0,0.999315537,50,4,2
F,A,0,0.334017796,40,4,2
M,A,1,0.900752909,0,3,2
M,A,0,0.588637919,40,4,2
M,A,0,0.142368241,0,3,2
M,A,0,0.503764545,50,4,2
M,A,0,0.999315537,50,5,2
F,A,0,0.301163587,10,3,2
M,A,0,0.161533196,0,4,2
M,A,0,0.490075291,30,4,2
M,A,0,0.468172485,0,3,2
F,A,0,0.41889117,20,4,2
M,A,0,0.906228611,50,4,2
M,A,0,0.752908967,10,5,2
M,A,0,0.021902806,0,3,2
M,A,0,0.769336071,20,5,2
F,A,0,0.41889117,20,3,2
M,A,0,0.999315537,0,6,2
F,A,0,0.156057495,50,4,2
F,A,0,0.87063655,50,5,2
M,A,0,0.837782341,50,4,2
F,A,0,0.941820671,0,4,2
M,A,0,0.561259411,50,5,2
M,A,0,0.101300479,50,4,2
M,A,0,0.065708419,10,4,2
M,A,0,0.832306639,0,4,2
M,A,0,0.251882272,50,3,2
M,A,0,0.251882272,50,5,2
M,A,0,0.752908967,50,3,2
M,A,0,0.314852841,20,4,2
M,A,0,0.752908967,30,2,2
M,A,0,0.585900068,10,3,2
M,A,0,0.457221082,50,4,2
M,A,0,0.41889117,50,3,2
M,A,0,0.670773443,50,3,2
M,A,0,0.580424367,0,3,2
M,A,0,0.83504449,50,4,2
M,A,0,0.670773443,50,3,2
M,A,0,0.325804244,0,3,2
M,A,0,0.331279945,30,4,2
M,A,0,0.402464066,50,5,2
M,A,0,0.084873374,50,4,2
M,A,0,0.251882272,50,6,2
M,A,1,0.643394935,0,4,2
M,A,0,0.585900068,50,4,2
M,A,0,0.503764545,30,4,2
M,A,0,0.284736482,0,3,2
M,A,0,0.503764545,50,4,2
M,A,1,0.303901437,50,4,2
M,A,0,0.999315537,10,3,2
F,A,0,0.295687885,40,4,2
M,A,0,0.336755647,40,4,2
M,A,0,0.41889117,0,3,2
M,A,0,0.684462697,50,3,2
M,A,0,0.41889117,10,4,2
M,A,0,0.380561259,50,4,2
M,A,0,0.391512663,0,4,2
M,A,0,0.41889117,20,3,2
M,A,0,0.314852841,20,4,2
M,A,0,0.837782341,50,5,2
M,A,0,0.334017796,30,3,2
M,A,0,0.443531828,50,4,2
M,A,0,0.323066393,10,4,2
M,A,0,0.331279945,40,4,2
M,A,0,0.334017796,50,3,2
F,A,0,0.41889117,20,6,2
M,A,0,0.334017796,50,4,2
M,A,1,0.681724846,0,4,2
M,A,0,0.837782341,20,5,2
M,A,0,0.443531828,0,2,2
M,A,0,0.747433265,0,4,2
F,A,0,0.372347707,0,5,2
M,A,0,0.752908967,30,5,2
M,A,0,0.752908967,20,3,2
F,A,0,0.752908967,50,4,2
M,A,0,0.739219713,0,3,2
F,A,0,0.147843943,50,5,2
M,A,0,0.084873374,50,5,2
F,A,0,0.145106092,50,5,2
F,A,0,0.509240246,50,4,2
M,A,0,0.131416838,50,5,2
M,A,0,0.334017796,50,3,2
F,A,0,0.646132786,0,4,2
M,A,0,0.585900068,10,3,2
F,A,0,0.585900068,50,4,2
M,A,0,0.380561259,20,4,2
M,A,0,0.213552361,50,4,2
M,A,0,0.273785079,0,3,2
M,A,0,0.988364134,50,4,2
M,A,0,0.851471595,50,4,2
M,A,1,0.818617385,0,3,2
M,A,0,0.804928131,0,4,2
M,A,0,0.8678987,50,4,2
M,A,0,0.503764545,10,5,2
M,A,0,0.851471595,50,4,2
M,A,0,0.407939767,0,4,2
M,A,0,0.999315537,20,5,2
M,A,0,0.958247776,0,3,2
M,A,0,0.914442163,50,4,2
F,A,0,0.331279945,50,4,2
F,A,0,0.914442163,50,5,2
M,A,0,0.596851472,50,4,2
M,A,0,0.752908967,20,3,2
F,A,0,0.772073922,10,4,2
F,A,0,0.31211499,20,3,2
M,A,0,0.837782341,50,5,2
M,A,0,0.328542095,0,2,2
M,A,0,0.914442163,30,4,2
M,A,0,0.944558522,20,3,2
M,A,0,0.654346338,10,3,2
M,A,0,0.084873374,50,4,2
M,A,0,0.177960301,0,4,2
M,A,0,0.755646817,0,5,2
M,A,0,0.837782341,0,4,2
F,A,0,0.851471595,50,5,2
M,A,0,0.657084189,20,3,2
M,A,0,0.550308008,40,5,2
M,A,0,0.032854209,50,4,2
M,A,0,0.046543463,20,3,2
M,A,0,0.511978097,0,3,2
M,A,0,0.815879535,30,3,2
M,A,0,0.167008898,0,3,2
M,A,0,0.062970568,0,3,2
M,A,0,0.48733744,0,3,2
M,A,0,0.791238878,40,4,2
M,A,0,0.117727584,50,3,2
M,A,0,0.156057495,0,4,2
M,A,0,0.876112252,0,3,2
F,A,0,0.62696783,0,3,2
M,A,0,0.585900068,50,4,2
M,A,0,0.084873374,50,6,2
M,A,0,0.791238878,0,3,2
M,A,0,0.596851472,50,3,2
M,A,0,0.561259411,0,3,2
M,A,0,0.585900068,50,3,2
F,A,0,0.331279945,0,4,2
M,A,0,0.380561259,0,4,2
M,A,0,0.561259411,50,3,2
M,A,0,0.503764545,50,4,2
M,A,0,0.503764545,50,5,2
M,A,0,0.38329911,40,3,2
M,A,0,0.774811773,0,3,2
M,A,0,0.999315537,10,3,2
M,A,0,0.20807666,20,3,2
M,A,0,0.999315537,40,3,2
M,A,0,0.829568789,0,3,2
F,A,0,0.224503765,20,3,2
M,A,0,0.213552361,20,3,2
M,A,0,0.41889117,40,4,2
M,A,0,0.503764545,10,6,2
M,A,0,0.793976728,0,5,2
M,A,0,0.232717317,0,2,2
M,A,0,0.128678987,40,4,2
M,A,0,0.131416838,50,3,2
M,A,0,0.309377139,10,4,2
M,A,0,0.52019165,0,4,2
M,A,0,0.355920602,20,4,2
M,A,0,0.303901437,0,3,2
M,A,0,0.336755647,30,4,2
M,A,0,0.060232717,50,4,2
F,A,0,0.495550993,20,3,2
M,A,0,0.31211499,50,5,2
M,A,0,0.703627652,0,3,2
M,A,0,0.334017796,30,5,2
M,A,0,0.553045859,50,4,2
M,A,0,0.980150582,40,3,2
M,A,0,0.720054757,0,4,2
M,A,0,0.17522245,0,4,2
M,A,0,0.284736482,50,5,2
M,A,0,0.114989733,0,2,2
M,A,0,0.167008898,50,4,2
M,A,0,0.689938398,10,4,2
M,A,0,0.752908967,50,4,2
M,A,0,0.501026694,20,3,2
M,A,0,0.752908967,50,4,2
M,A,0,0.298425736,20,3,2
M,A,0,0.476386037,10,6,2
M,A,0,0.334017796,50,4,2
M,A,0,0.446269678,0,6,2
M,A,0,0.136892539,50,5,2
M,A,0,0.180698152,0,3,2
M,A,0,0.62422998,30,3,2
M,A,0,0.339493498,0,4,2
M,A,1,0.854209446,0,5,2
M,A,0,0.060232717,0,4,2
M,A,0,0.580424367,0,4,2
M,A,0,0.084873374,10,4,2
M,A,0,0.084873374,50,5,2
M,A,0,0.062970568,50,5,2
M,A,0,0.084873374,50,4,2
M,A,0,0.325804244,50,4,2
M,A,0,0.5229295,20,3,2
M,A,0,0.585900068,0,3,2
M,A,0,0.41615332,0,3,2
M,A,0,0.607802875,0,3,2
M,A,0,0.676249144,0,4,2
M,A,0,0.429842574,40,4,2
M,A,0,0.457221082,0,4,2
M,A,0,0.065708419,30,3,2
M,A,0,0.999315537,10,3,2
M,A,0,0.287474333,50,3,2
M,A,0,0.495550993,10,3,2
M,A,0,0.542094456,50,5,2
M,A,0,0.752908967,50,3,2
M,A,0,0.993839836,50,4,2
M,A,0,0.769336071,10,3,2
M,A,0,0.320328542,10,3,2
M,A,0,0.845995893,0,5,2
M,A,0,0.999315537,50,3,2
M,A,0,0.76386037,50,5,2
M,A,0,0.996577687,0,3,2
F,A,0,0.295687885,50,3,2
M,A,0,0.999315537,50,3,2
M,A,0,0.952772074,50,4,2
M,A,0,0.999315537,50,4,2
F,A,0,0.665297741,50,3,2
M,A,0,0.476386037,50,4,2
M,A,0,0.503764545,50,4,2
M,A,0,0.219028063,0,6,2
M,A,0,0.388774812,0,4,2
M,A,0,0.988364134,0,5,2
M,A,0,0.098562628,0,3,2
M,A,0,0.262833676,50,3,2
M,A,0,0.057494867,10,3,2
M,A,0,0.509240246,50,5,2
M,A,0,0.952772074,50,4,2
M,A,0,0.999315537,10,3,2
M,A,0,0.980150582,10,4,2
M,A,0,0.490075291,50,5,2
M,A,0,0.999315537,50,4,2
M,A,0,0.503764545,20,3,2
M,A,0,0.999315537,50,5,2
M,A,0,0.971937029,50,3,2
M,A,0,0.41889117,20,4,2
M,A,0,0.41615332,10,4,2
M,A,0,0.145106092,50,4,2
M,A,0,0.06844627,0,3,2
M,A,0,0.191649555,40,3,2
M,A,0,0.736481862,0,5,2
F,A,0,0.542094456,0,4,2
M,A,0,0.503764545,0,3,2
F,A,0,0.700889802,0,4,2
M,A,0,0.999315537,50,4,2
M,A,0,0.687200548,0,4,2
M,A,0,0.1724846,50,4,2
M,A,0,0.999315537,40,3,2
M,A,0,0.698151951,10,4,2
M,A,0,0.914442163,50,5,2
M,A,0,0.5229295,40,4,2
M,A,0,0.41889117,50,4,2
M,A,0,0.914442163,30,4,2
M,A,0,0.914442163,50,3,2
M,A,0,0.785763176,0,3,2
M,A,0,0.887063655,50,3,2
F,A,0,0.060232717,0,2,2
M,A,0,0.517453799,0,4,2
M,A,0,0.164271047,10,4,2
M,A,0,0.142368241,50,4,2
M,A,0,0.999315537,50,4,2
M,A,0,0.837782341,0,3,2
M,A,0,0.290212183,0,4,2
F,A,0,0.569472964,20,3,2
M,A,0,0.45174538,10,3,2
M,A,0,0.856947296,10,3,2
M,A,0,0.958247776,0,4,2
M,A,0,0.547570157,0,4,2
M,A,0,0.509240246,0,4,2
F,A,0,0.334017796,50,4,2
M,A,0,0.558521561,50,3,2
M,A,0,0.334017796,10,3,2
M,A,0,0.446269678,0,4,2
M,A,0,0.714579055,0,3,2
M,A,0,0.06844627,50,4,2
M,A,0,0.492813142,30,3,2
M,A,0,0.651608487,0,3,2
M,A,0,0.914442163,30,4,2
M,A,0,0.837782341,50,4,2
M,A,0,0.443531828,0,4,2
M,A,0,0.251882272,10,4,2
M,A,0,0.150581793,30,3,2
M,A,0,0.262833676,10,4,2
M,A,0,0.145106092,0,5,2
F,A,0,0.413415469,50,4,2
M,A,0,0.752908967,50,4,2
M,A,0,0.752908967,50,3,2
M,A,1,0.468172485,0,3,2
M,A,0,0.944558522,0,4,2
M,A,1,0.670773443,50,4,2
M,A,0,0.249144422,0,3,2
M,A,0,0.052019165,50,3,2
M,A,0,0.167008898,50,4,2
M,A,0,0.646132786,0,3,2
M,A,0,0.377823409,0,3,2
M,A,0,0.511978097,0,3,2
F,A,0,0.167008898,10,4,2
F,A,0,0.005475702,0,4,2
M,A,0,0.670773443,10,4,2
M,A,0,0.670773443,50,4,2
M,A,0,0.525667351,20,3,2
M,A,0,0.06844627,0,5,2
M,A,0,0.24366872,0,4,2
M,A,1,0.670773443,0,3,2
M,A,0,0.167008898,10,5,2
M,A,0,0.6954141,0,3,2
M,A,0,0.158795346,50,3,2
M,A,0,0.164271047,0,3,2
M,A,0,0.596851472,30,4,2
M,A,0,0.561259411,50,3,2
M,A,0,0.041067762,0,3,2
M,A,0,0.084873374,0,4,2
M,A,0,0.585900068,0,3,2
M,A,0,0.585900068,50,4,2
F,A,0,0.084873374,50,4,2
M,A,0,0.005475702,10,3,2
M,A,0,0.602327173,0,5,2
M,A,1,0.774811773,0,3,2
M,A,0,0.714579055,0,3,2
M,A,0,0.837782341,50,4,2
F,A,1,0.339493498,0,4,2
M,A,0,0.758384668,20,3,2
F,A,0,0.837782341,50,3,2
M,A,0,0.084873374,10,3,2
M,A,0,0.350444901,0,2,2
F,A,0,0.010951403,0,4,2
M,A,0,0.334017796,10,3,2
M,A,0,0.084873374,10,5,2
M,A,0,0.569472964,0,3,2
M,A,0,0.574948665,0,3,2
M,A,0,0.084873374,30,3,2
M,A,0,0.186173854,20,3,2
M,A,0,0.533880904,40,3,2
M,A,0,0.158795346,0,2,2
F,A,0,0.084873374,20,3,2
M,A,0,0.087611225,0,4,2
M,A,0,0.503764545,50,4,2
M,A,0,0.503764545,50,4,2
M,A,0,0.999315537,50,3,2
M,A,0,0.369609856,50,4,2
M,A,0,0.27652293,50,4,2
M,A,0,0.292950034,20,3,2
M,A,0,0.281998631,0,3,2
M,A,0,0.62696783,0,4,2
M,A,0,0.607802875,50,4,2
M,A,0,0.837782341,50,4,2
F,A,0,0.999315537,50,3,2
F,A,0,0.396988364,50,5,2
F,A,0,0.090349076,0,3,2
M,A,0,0.999315537,40,3,2
M,A,0,0.736481862,50,5,2
M,A,0,0.41889117,20,4,2
M,A,0,0.999315537,50,3,2
M,A,0,0.24366872,0,4,2
M,A,0,0.503764545,40,4,2
M,A,0,0.503764545,50,3,2
F,A,0,0.492813142,50,4,2
F,A,0,0.528405202,20,3,2
M,A,0,0.465434634,20,3,2
M,A,0,0.662559891,10,4,2
M,A,0,0.435318275,40,6,2
M,A,1,0.999315537,50,4,2
M,A,0,0.914442163,50,5,2
M,A,0,0.914442163,50,3,2
M,A,0,0.202600958,0,3,2
F,A,0,0.375085558,10,3,2
M,A,0,0.413415469,10,3,2
M,A,0,0.720054757,10,4,2
M,A,0,0.079397673,50,4,2
F,A,0,0.38329911,10,4,2
F,A,0,0.101300479,0,3,2
M,A,0,0.914442163,10,2,2
F,A,0,0.914442163,50,3,2
M,A,0,0.394250513,0,5,2
M,A,0,0.41615332,50,3,2
M,A,0,0.10403833,30,4,2
M,A,0,0.914442163,0,3,2
M,A,0,0.41889117,30,2,2
M,A,0,0.492813142,50,4,2
M,A,0,0.41889117,20,5,2
M,A,0,0.914442163,30,3,2
M,A,0,0.34770705,50,3,2
M,A,0,0.005475702,50,3,2
M,A,0,0.41889117,0,6,2
M,A,0,0.394250513,0,5,2
U,M,0,0.752908967,10,0,5
U,M,0,0.670773443,20,0,5
U,M,0,0.585900068,20,0,5
U,M,0,0.251882272,20,0,3
U,M,0,0.251882272,10,0,2
U,M,0,0.837782341,20,0,5
U,M,0,0.334017796,20,0,5
U,M,0,0.251882272,20,0,5
U,M,0,0.167008898,20,0,5
U,M,0,0.084873374,10,0,5
U,M,0,0.914442163,0,0,4
U,M,0,0.454483231,20,0,5
U,M,0,0.752908967,10,0,5
U,M,0,0.251882272,20,0,5
U,M,0,0.251882272,20,0,5
U,M,0,0.752908967,10,0,4
U,M,0,0.752908967,10,0,4
U,M,0,0.249144422,20,0,5
U,M,0,0.030116359,20,0,4
U,M,0,0.585900068,10,0,4
U,M,0,0.41889117,20,0,2
U,M,0,0.334017796,20,0,4
U,M,0,0.334017796,20,0,4
U,M,0,0.167008898,20,0,4
U,M,0,0.503764545,20,0,5
U,M,0,0.914442163,20,0,4
U,M,0,0.837782341,20,0,4
U,M,0,0.837782341,20,0,4
U,M,0,1.0,0,0,2
U,M,0,0.752908967,20,0,4
U,M,0,0.752908967,20,0,4
U,M,0,0.681724846,20,0,4
U,M,0,0.670773443,20,0,4
U,M,0,0.569472964,10,0,4
U,M,0,0.005475702,20,0,6
U,M,0,0.334017796,20,0,6
U,M,0,0.999315537,20,0,4
U,M,0,0.479123888,20,0,4
U,M,0,0.914442163,20,0,4
U,M,0,0.585900068,20,0,4
U,M,0,0.334017796,20,0,3
U,M,0,0.334017796,20,0,4
U,M,0,0.334017796,20,0,4
U,M,0,0.167008898,20,0,4
U,M,0,0.082135524,0,0,4
U,M,0,0.999315537,20,0,4
U,M,0,0.342231348,0,0,4
U,M,0,0.815879535,10,0,4
U,M,0,0.837782341,20,0,4
U,M,0,0.334017796,20,0,4
U,M,0,0.837782341,20,0,4
U,M,0,0.503764545,20,0,4
U,M,0,0.38329911,10,0,4
U,M,0,0.251882272,20,0,4
U,M,0,0.914442163,10,0,4
U,M,0,0.996577687,20,0,4
U,M,0,0.216290212,20,0,4
U,M,0,0.446269678,20,0,4
U,M,0,0.503764545,0,0,4
U,M,0,0.914442163,10,0,3
U,M,0,0.501026694,20,0,4
U,M,0,0.752908967,20,0,4
U,M,0,0.334017796,10,0,2
U,M,0,0.991101985,20,0,4
U,M,0,0.999315537,10,0,4
U,M,1,0.996577687,20,0,4
U,M,0,0.6954141,0,0,4
U,M,0,0.791238878,20,0,3
U,M,0,0.391512663,0,0,4
U,M,0,0.167008898,20,0,3
U,M,0,0.167008898,20,0,3
U,M,0,0.084873374,20,0,4
M,M,0,0.999315537,20,0,4
U,M,0,0.955509925,20,0,3
U,M,0,0.999315537,20,0,4
U,M,0,0.503764545,20,0,3
U,M,0,0.717316906,20,0,3
U,M,1,0.914442163,10,0,3
U,M,0,0.440793977,10,0,2
U,M,0,0.334017796,10,0,3
U,M,0,0.720054757,10,0,3
U,M,0,0.670773443,10,0,3
U,M,0,0.670773443,10,0,3
U,M,0,0.643394935,20,0,3
U,M,0,0.651608487,20,0,3
U,M,0,0.501026694,0,0,4
U,M,0,0.585900068,20,0,4
U,M,0,0.585900068,20,0,3
U,M,0,0.982888433,0,0,3
U,M,0,0.503764545,20,0,3
U,M,0,0.503764545,20,0,3
U,M,0,0.503764545,20,0,3
U,M,0,0.914442163,10,0,4
U,M,0,0.372347707,20,0,3
U,M,0,0.41889117,0,0,3
U,M,0,0.167008898,20,0,3
U,M,0,0.670773443,20,0,3
